#,Country,Population,Region
171,Bahamas,"404,628",Latin America
172,Iceland,"402,329",Europe
173,Vanuatu,"342,564",Oceania
174,Barbados,"282,724",Latin America
175,Sao Tome & Principe,"244,994",Africa
176,Samoa,"220,528",Oceania
177,Saint Lucia,"180,488",Latin America
178,Kiribati,"138,445",Oceania
179,Seychelles,"134,959",Africa
180,Grenada,"117,362",Latin America
181,Micronesia,"114,183",Oceania
182,Tonga,"103,291",Oceania
183,St. Vincent & Grenadines,"99,245",Latin America
184,Antigua and Barbuda,"94,626",Latin America
185,Andorra,"83,753",Europe
186,Dominica,"65,511",Latin America
187,Saint Kitts & Nevis,"46,992",Latin America
188,Liechtenstein,"40,368",Europe
189,Monaco,"38,087",Europe
190,Marshall Islands,"35,075",Oceania
191,San Marino,"33,605",Europe
192,Palau,"17,614",Oceania
193,Nauru,"12,101",Oceania
194,Tuvalu,"9,362",Oceania
195,Holy See,506,Europe
